Protein IDs,Protein names,Gene,Intensity
Q99K28;Q99K28-2,ADP-ribosylation factor GTPase-activating protein 2,Arfgap2,441920000
Q99K30;Q99K30-2,Epidermal growth factor receptor kinase substrate 8-like protein 2,Eps8l2,194860000
Q99K41,EMILIN-1,Emilin1,16337000
Q99K48;Q99K48-2,Non-POU domain-containing octamer-binding protein,Nono,930520000
Q99K51;Q3V0K9,Plastin-3,Pls3,3849700000
Q99K67,"Alpha-aminoadipic semialdehyde synthase, mitochondrial;Lysine ketoglutarate reductase;Saccharopine dehydrogenase",Aass,10255000000
Q99K70;Q99K70-2;Q7TT45,Ras-related GTP-binding protein C,Rragc,20554000
Q99K85,Phosphoserine aminotransferase,Psat1,6233200
Q99K95,Protein RTF2 homolog,Rtfdc1,2560600
Q99KB8;Q99KB8-2,"Hydroxyacylglutathione hydrolase, mitochondrial",Hagh,5433700000
Q99KC8,von Willebrand factor A domain-containing protein 5A,Vwa5a,493900000
Q99KD5,Protein unc-45 homolog A,Unc45a,8471800
Q99KE1,"NAD-dependent malic enzyme, mitochondrial",Me2,4037900
Q99KF1,Transmembrane emp24 domain-containing protein 9,Tmed9,198130000
Q99KG3-2;Q99KG3-3;Q99KG3,RNA-binding protein 10,Rbm10,27726000
Q99KG5-3;Q99KG5-2;Q99KG5,Lipolysis-stimulated lipoprotein receptor,Lsr,186820000
Q99KH8;Q99JT2;Q9Z2W1,Serine/threonine-protein kinase 24;Serine/threonine-protein kinase 24 35 kDa subunit;Serine/threonine-protein kinase 24 12 kDa subunit,Stk24,65186000
Q99KI0,"Aconitate hydratase, mitochondrial",Aco2,18364000000
Q99KI3,ER membrane protein complex subunit 3,Emc3,22500000
Q99KJ8,Dynactin subunit 2,Dctn2,659490000
Q99KK1,Receptor expression-enhancing protein 3,Reep3,2285000
Q99KK2;Q99KK2-2,N-acylneuraminate cytidylyltransferase,Cmas,262110000
Q99KK7,Dipeptidyl peptidase 3,Dpp3,1166900000
Q99KN2,Probable cytosolic iron-sulfur protein assembly protein CIAO1,Ciao1,53249000
Q99KN9-2;Q99KN9,Clathrin interactor 1,Clint1,268380000
Q99KP3,Lambda-crystallin homolog,Cryl1,1226300000
Q99KP6;Q99KP6-2;Q99KP6-3,Pre-mRNA-processing factor 19,Prpf19,300050000
Q99KQ4,Nicotinamide phosphoribosyltransferase,Nampt,1242200000
Q99KR3,Beta-lactamase-like protein 2,Lactb2,3414600000
Q99KR7,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",Ppif,778550000
Q99KS6-2;Q99KS6,Manganese-dependent ADP-ribose/CDP-alcohol diphosphatase,Adprm,15929000
Q99KU0,Vacuole membrane protein 1,Vmp1,8348500
Q99KV1,DnaJ homolog subfamily B member 11,Dnajb11,565820000
Q99KW3-1;Q99KW3-4;Q99KW3;Q99KW3-2,TRIO and F-actin-binding protein,Triobp,22532000
Q99KW9,T-cell immunomodulatory protein,Itfg1,8696800
Q99KX1,Myeloid leukemia factor 2,Mlf2,1723200
Q99KY4-2;Q99KY4,Cyclin-G-associated kinase,Gak,65822000
Q99L04,Dehydrogenase/reductase SDR family member 1,Dhrs1,2997200000
Q99L13,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",Hibadh,3981300000
Q99L20,,Gstt3,3489300000
Q99L27;Q9DCZ1,GMP reductase 2,Gmpr2,85076000
Q99L43,Phosphatidate cytidylyltransferase 2,Cds2,9651800
Q99L45,Eukaryotic translation initiation factor 2 subunit 2,Eif2s2,490050000
Q99L47,Hsc70-interacting protein,St13,2828300000
Q99L48,60S ribosomal export protein NMD3,Nmd3,3396400
Q99L88;Q99L88-2,Beta-1-syntrophin,Sntb1,482010000
Q99LB2,Dehydrogenase/reductase SDR family member 4,Dhrs4,3866600000
Q99LB6-2;Q99LB6,Methionine adenosyltransferase 2 subunit beta,Mat2b,142840000
Q99LB7,"Sarcosine dehydrogenase, mitochondrial",Sardh,48327000000
Q99LC2,Cleavage stimulation factor subunit 1,Cstf1,30807000
Q99LC3,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",Ndufa10,2327500000
Q99LC5,"Electron transfer flavoprotein subunit alpha, mitochondrial",Etfa,38548000000
Q99LC8,Translation initiation factor eIF-2B subunit alpha,Eif2b1,58388000
Q99LC9,Peroxisome assembly factor 2,Pex6,134040000
Q99LD4;Q99LD4-2,COP9 signalosome complex subunit 1,Gps1,232700000
Q99LD8,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2",Ddah2,52717000
Q99LD9,Translation initiation factor eIF-2B subunit beta,Eif2b2,73058000
Q99LE6,ATP-binding cassette sub-family F member 2,Abcf2,112440000
Q99LF4,tRNA-splicing ligase RtcB homolog,Rtcb,1378600000
Q99LG0,Ubiquitin carboxyl-terminal hydrolase 16,Usp16,7945700
Q99LG2,Transportin-2,Tnpo2,17630000
Q99LH2,Phosphatidylserine synthase 1,Ptdss1,7237800
Q99LI2,Chloride channel CLIC-like protein 1,Clcc1,97260000
Q99LI7,Cleavage stimulation factor subunit 3,Cstf3,9319000
Q99LI8,Hepatocyte growth factor-regulated tyrosine kinase substrate,Hgs,82023000
Q99LL5,Periodic tryptophan protein 1 homolog,Pwp1,9392100
Q99LM2;Q60636-2,CDK5 regulatory subunit-associated protein 3,Cdk5rap3,171560000
Q99LN9;Q99LN9-2,Deoxyhypusine hydroxylase,Dohh,14137000
Q99LP6,"GrpE protein homolog 1, mitochondrial",Grpel1,1200700000
Q99LR1-2;Q99LR1,Monoacylglycerol lipase ABHD12,Abhd12,10852000
Q99LT0,Protein dpy-30 homolog,Dpy30,68757000
Q9CQD4;Q99LU0,Charged multivesicular body protein 1b-2;Charged multivesicular body protein 1b-1,Chmp1b2;Chmp1b1,100080000
Q99LX0,Protein deglycase DJ-1,Park7,13586000000
Q99LY9,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 5;NADH dehydrogenase [ubiquinone] iron-sulfur protein 5, N-terminally processed",Ndufs5,589090000
Q99M01,"Phenylalanine--tRNA ligase, mitochondrial",Fars2,40223000
Q99M04,"Lipoyl synthase, mitochondrial",Lias,27743000
Q99M28-2;Q99M28,RNA-binding protein with serine-rich domain 1,Rnps1,30173000
Q99M31;Q99M31-2,Heat shock 70 kDa protein 14,Hspa14,9922900
Q99M51,Cytoplasmic protein NCK1,Nck1,37731000
Q99M87-3;Q99M87;Q99M87-2,"DnaJ homolog subfamily A member 3, mitochondrial",Dnaja3,490700000
Q99MB2,Mitochondrial fission regulator 1,Mtfr1,7949000
Q99MD9;Q99MD9-2,Nuclear autoantigenic sperm protein,Nasp,12853000
Q99MI1;Q99MI1-2;Q6PH08;Q6PH08-3;Q6PH08-2;Q6PH08-4,ELKS/Rab6-interacting/CAST family member 1,Erc1,143900000
Q99MI1-4,ELKS/Rab6-interacting/CAST family member 1,Erc1,27041000
Q99MN1,Lysine--tRNA ligase,Kars,1607600000
Q99MN9,"Propionyl-CoA carboxylase beta chain, mitochondrial",Pccb,5085900000
Q99MP8-2;Q99MP8;Q99MP8-3,BRCA1-associated protein,Brap,9920900
Q99MR6-3;Q99MR6-4;Q99MR6-2;Q99MR6,Serrate RNA effector molecule homolog,Srrt,282140000
Q99MR8,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",Mccc1,3915900000
Q99MU3-2;Q99MU3;Q99MU3-5;Q99MU3-3;Q99MU3-4,Double-stranded RNA-specific adenosine deaminase,Adar,16455000
Q99MV5,Putative helicase Mov10l1,Mov10l1,7911800
Q99MZ3-2;Q99MZ3;Q99MZ3-4;Q99MZ3-3;Q99MZ3-5,Carbohydrate-responsive element-binding protein,Mlxipl,55361000
Q99MZ7,Peroxisomal trans-2-enoyl-CoA reductase,Pecr,5787400000
Q99N28,Cell adhesion molecule 3,Cadm3,2879300
Q99N42,Thymidine phosphorylase,Tymp,254190000
Q99N84;Q99N84-2,"28S ribosomal protein S18b, mitochondrial",Mrps18b,12525000
Q99N87,"28S ribosomal protein S5, mitochondrial",Mrps5,156690000
Q99N89,"39S ribosomal protein L43, mitochondrial",Mrpl43,21498000
Q99N92,"39S ribosomal protein L27, mitochondrial",Mrpl27,32279000
Q99N93,"39S ribosomal protein L16, mitochondrial",Mrpl16,19489000
Q99N94,"39S ribosomal protein L9, mitochondrial",Mrpl9,62017000
Q99N95,"39S ribosomal protein L3, mitochondrial",Mrpl3,85823000
Q99N96,"39S ribosomal protein L1, mitochondrial",Mrpl1,118070000
Q99NB8,Ubiquilin-4,Ubqln4,19052000
Q99NB9,Splicing factor 3B subunit 1,Sf3b1,252860000
Q99NF1,"Beta,beta-carotene 9,10-oxygenase",Bco2,55873000
Q99NH0-2;Q99NH0-3;Q99NH0,Ankyrin repeat domain-containing protein 17,Ankrd17,20522000
Q99NH2-2;Q99NH2;Q99NH2-3;Q99NH2-4;Q99NH2-5,Partitioning defective 3 homolog,Pard3,9451800
Q99P25,Translin-associated factor X-interacting protein 1,Tsnaxip1,94721000
Q99P27,Group XIIB secretory phospholipase A2-like protein,Pla2g12b,37475000
Q99P30-3;Q99P30;Q99P30-5;Q99P30-2;Q99P30-4,Peroxisomal coenzyme A diphosphatase NUDT7,Nudt7,1543000000
Q99P31,Hsp70-binding protein 1,Hspbp1,9470300
Q99P58,Ras-related protein Rab-27B,Rab27b,3823900
Q99P72;Q99P72-1;Q99P72-3,Reticulon-4,Rtn4,160680000
Q99P88,Nuclear pore complex protein Nup155,Nup155,53055000
Q99PE8,ATP-binding cassette sub-family G member 5,Abcg5,3965400
Q99PG0,Arylacetamide deacetylase,Aadac,2678400000
Q99PG2-2;Q99PG2,Opioid growth factor receptor,Ogfr,137390000
Q99PI5;Q99PI5-2,Phosphatidate phosphatase LPIN2,Lpin2,37193000
Q99PL5;Q99PL5-3;Q99PL5-2;Q99PL5-4;Q99PL5-6;Q99PL5-7;Q99PL5-5;Q99PL5-8;Q99PL5-9;Q99PL5-10;Q99PL5-12;Q99PL5-11,Ribosome-binding protein 1,Rrbp1,15457000000
Q99PL6-2;Q99PL6,UBX domain-containing protein 6,Ubxn6,8178900
Q99PQ1,Tripartite motif-containing protein 12A,Trim12a,13346000
Q99PT1,Rho GDP-dissociation inhibitor 1,Arhgdia,2167300000
Q99PU8;Q99PU8-2;Q99PU8-3,Putative ATP-dependent RNA helicase DHX30,Dhx30,12008000
Q99PV0,Pre-mRNA-processing-splicing factor 8,Prpf8,277850000
Q99PW4,TP53-regulating kinase,Tp53rk,36729000
Q9CPP6,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5,Ndufa5,1472500000
Q9CPQ1,Cytochrome c oxidase subunit 6C,Cox6c,2901700000
Q9CPQ3,Mitochondrial import receptor subunit TOM22 homolog,Tomm22,106930000
Q9CPQ8,"ATP synthase subunit g, mitochondrial",Atp5l,980650000
Q9CPR1,RWD domain-containing protein 4,Rwdd4,6610500
Q9CPR4,60S ribosomal protein L17,Rpl17,2300800000
Q9CPR5;Q9CPR5-2,"39S ribosomal protein L15, mitochondrial",Mrpl15,70022000
Q9CPS6,Histidine triad nucleotide-binding protein 3,Hint3,17214000
Q9CPT3,N-acylneuraminate-9-phosphatase,Nanp,17305000
Q9CPT4,Myeloid-derived growth factor,Mydgf,44744000
Q9CPT5,Nucleolar protein 16,Nop16,36063000
Q9CPU0,Lactoylglutathione lyase,Glo1,7401300000
Q9CPU4,Microsomal glutathione S-transferase 3,Mgst3,9458500
Q9CPV4;Q9CPV4-2;Q9CPV4-3,Glyoxalase domain-containing protein 4,Glod4,1854900000
Q9CPW2;Q9CPW2-2,"Adrenodoxin-like protein, mitochondrial",Fdx1l,42518000
Q9CPW3,"39S ribosomal protein L54, mitochondrial",Mrpl54,73192000
Q9CPW4,Actin-related protein 2/3 complex subunit 5,Arpc5,695160000
Q9CPX6,Ubiquitin-like-conjugating enzyme ATG3,Atg3,440240000
Q9CPX7,"28S ribosomal protein S16, mitochondrial",Mrps16,65166000
Q9CPX8,Cytochrome b-c1 complex subunit 10,Uqcr11,9488400
Q9CPY1,"39S ribosomal protein L51, mitochondrial",Mrpl51,26745000
Q9CPY7;Q9CPY7-2,Cytosol aminopeptidase,Lap3,14218000000
Q9CPZ8,COX assembly mitochondrial protein homolog,Cmc1,23442000
Q9CQ02,COMM domain-containing protein 4,Commd4,7616000
Q9CQ06,"39S ribosomal protein L24, mitochondrial",Mrpl24,24542000
Q9CQ10,Charged multivesicular body protein 3,Chmp3,86452000
Q9CQ19,Myosin regulatory light polypeptide 9,Myl9,799600000
Q9CQ20,Mid1-interacting protein 1,Mid1ip1,97334000
Q9CQ22,Ragulator complex protein LAMTOR1,Lamtor1,55028000
Q9CQ26,STAM-binding protein,Stambp,2987400
Q9CQ40,"39S ribosomal protein L49, mitochondrial",Mrpl49,78189000
Q9CQ45,Neudesin,Nenf,7440500
Q9CQ48,NudC domain-containing protein 2,Nudcd2,101400000
Q9CQ52,Chymotrypsin-like elastase family member 3B,Cela3b,102600000
Q9CQ54,NADH dehydrogenase [ubiquinone] 1 subunit C2,Ndufc2,771910000
Q9CQ56;Q9CQ56-2,Vesicle transport protein USE1,Use1,9994900
Q9CQ60,6-phosphogluconolactonase,Pgls,1410400000
Q9CQ62,"2,4-dienoyl-CoA reductase, mitochondrial",Decr1,10092000000
Q9CQ65,S-methyl-5-thioadenosine phosphorylase,Mtap,455180000
Q9CQ69,Cytochrome b-c1 complex subunit 8,Uqcrq,2184400000
Q9CQ71,Replication protein A 14 kDa subunit,Rpa3,45910000
Q9CQ75,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2,Ndufa2,642870000
Q9CQ80;Q9CQ80-2,Vacuolar protein-sorting-associated protein 25,Vps25,96039000
Q9CQ86,Migration and invasion enhancer 1,Mien1,11295000
Q9CQ89;Q9CQ89-3,Protein CutA,Cuta,63735000
Q9CQ91,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3,Ndufa3,388470000
Q9CQ92,Mitochondrial fission 1 protein,Fis1,329600000
Q9CQA3,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",Sdhb,7336100000
Q9CQA5-2;Q9CQA5,Mediator of RNA polymerase II transcription subunit 4,Med4,3159700
Q9CQB2,Protein FAM195A,Fam195a,22309000
Q9CQB5,CDGSH iron-sulfur domain-containing protein 2,Cisd2,51127000
Q9CQC2,Colipase,Clps,12818000
Q9CQC6,Basic leucine zipper and W2 domain-containing protein 1,Bzw1,343020000
Q9CQC7,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,Ndufb4,667940000
Q9CQC9,GTP-binding protein SAR1b,Sar1b,2080600000
Q9CQD1,Ras-related protein Rab-5A,Rab5a,22400000
Q9CQE1,Protein NipSnap homolog 3B,Nipsnap3b,434530000
Q9CQE3,"28S ribosomal protein S17, mitochondrial",Mrps17,41448000
Q9CQE5,Regulator of G-protein signaling 10,Rgs10,3054500
Q9CQE7;Q9CQE7-2,Endoplasmic reticulum-Golgi intermediate compartment protein 3,Ergic3,2709500
Q9CQE8,UPF0568 protein C14orf166 homolog,,701960000
Q9CQF0,"39S ribosomal protein L11, mitochondrial",Mrpl11,44633000
Q9CQF3,Cleavage and polyadenylation specificity factor subunit 5,Nudt21,201270000
Q9CQF4,Uncharacterized protein C6orf203 homolog,,16971000
Q9CQF6-2;Q9CQF6,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,Aasdhppt,10867000
Q9CQF8,"Ribosomal protein 63, mitochondrial",Mrpl57,16409000
Q9CQF9,Prenylcysteine oxidase,Pcyox1,455510000
Q9CQG1-2;Q9CQG1,Putative glutathione-specific gamma-glutamylcyclotransferase 2,Chac2,14908000
Q9CQH3,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial",Ndufb5,197640000
Q9CQH7,Transcription factor BTF3 homolog 4,Btf3l4,95847000
Q9CQI3,Glia maturation factor beta,Gmfb,235500000
Q9CQI6,Coactosin-like protein,Cotl1,826640000
Q9CQI7,U2 small nuclear ribonucleoprotein B,Snrpb2,103890000
Q9CQJ2,PIH1 domain-containing protein 1,Pih1d1,4576000
Q9CQJ6,Density-regulated protein,Denr,392190000
Q9CQJ8,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9,Ndufb9,643800000
Q9CQK7,RWD domain-containing protein 1,Rwdd1,32790000
Q9CQL4,"39S ribosomal protein L20, mitochondrial",Mrpl20,13484000
Q9CQL6,"39S ribosomal protein L35, mitochondrial",Mrpl35,25621000
Q9CQM5,Thioredoxin domain-containing protein 17,Txndc17,257310000
Q9CQM9,Glutaredoxin-3,Glrx3,826480000
Q9CQN1,"Heat shock protein 75 kDa, mitochondrial",Trap1,2677100000
Q9CQN7,"39S ribosomal protein L41, mitochondrial",Mrpl41,111330000
Q9CQP0,"39S ribosomal protein L33, mitochondrial",Mrpl33,11411000
Q9CQP2,Trafficking protein particle complex subunit 2,Trappc2,10883000
Q9CQQ7,"ATP synthase F(0) complex subunit B1, mitochondrial",Atp5f1,5199500000
Q9CQQ8,U6 snRNA-associated Sm-like protein LSm7,Lsm7,62077000
Q9CQR2,40S ribosomal protein S21,Rps21,2491500000
Q9CQR4,"Acyl-coenzyme A thioesterase 13;Acyl-coenzyme A thioesterase 13, N-terminally processed",Acot13,1365500000
Q9CQR6,"Serine/threonine-protein phosphatase 6 catalytic subunit;Serine/threonine-protein phosphatase 6 catalytic subunit, N-terminally processed",Ppp6c,89586000
Q9CQS2,H/ACA ribonucleoprotein complex subunit 3,Nop10,32801000
Q9CQS8,Protein transport protein Sec61 subunit beta,Sec61b,209620000
Q9CQT1,Methylthioribose-1-phosphate isomerase,Mri1,608120000
Q9CQT2,RNA-binding protein 7,Rbm7,19163000
Q9CQT5,Proteasome maturation protein,Pomp,11425000
Q9CQU0,Thioredoxin domain-containing protein 12,Txndc12,154260000
Q9CQU3,Protein RER1,Rer1,56682000
Q9CQV1,Mitochondrial import inner membrane translocase subunit TIM16,Pam16,79318000
Q9CQV4,Protein FAM134C,Fam134c,10730000
Q9CQV6,Microtubule-associated proteins 1A/1B light chain 3B,Map1lc3b,6926500
Q9CQV7;Q9CQV7-3;Q9CQV7-2,Mitochondrial import inner membrane translocase subunit TIM14,Dnajc19,103680000
Q9CQV8-2;Q9CQV8,"14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed",Ywhab,658210000
Q9CQW0,ER membrane protein complex subunit 6,Emc6,28125000
Q9CQW1,Synaptobrevin homolog YKT6,Ykt6,71051000
Q9CQW2,ADP-ribosylation factor-like protein 8B,Arl8b,132300000
Q9CQW3,Vitamin K-dependent protein Z,Proz,2400600
Q9CQW9;Q99J93,Interferon-induced transmembrane protein 3;Interferon-induced transmembrane protein 2,Ifitm3;Ifitm2,62817000
Q9CQX2,Cytochrome b5 type B,Cyb5b,2859800000
Q9CQX8,"28S ribosomal protein S36, mitochondrial",Mrps36,182280000
Q9CQY5-2;Q9CQY5-3;Q9CQY5,Magnesium transporter protein 1,Magt1,125240000
Q9CQY6,Ubiquinol-cytochrome-c reductase complex assembly factor 2,Uqcc2,9560400
Q9CQZ0;Q9CQZ0-2;Q9CPZ6;Q921I0,ORM1-like protein 2;ORM1-like protein 3;ORM1-like protein 1,Ormdl2;Ormdl3;Ormdl1,47030000
Q9CQZ1,Heat shock factor-binding protein 1,Hsbp1,18857000
Q9CQZ5,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6,Ndufa6,427470000
Q9CQZ6,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3,Ndufb3,159160000
Q9CR00,26S proteasome non-ATPase regulatory subunit 9,Psmd9,766650000
Q9CR09,Ubiquitin-fold modifier-conjugating enzyme 1,Ufc1,759630000
Q9CR10,Oxidoreductase-like domain-containing protein 1,Oxld1,6454200
Q9CR13,UPF0562 protein C7orf55 homolog,,6047300
Q9CR16,Peptidyl-prolyl cis-trans isomerase D,Ppid,1874400000
Q9CR20,Immediate early response 3-interacting protein 1,Ier3ip1,8915600
Q9CR21,"Acyl carrier protein, mitochondrial",Ndufab1,646040000
Q9CR24,"Nucleoside diphosphate-linked moiety X motif 8, mitochondrial",Nudt8,45290000
Q9CR26,Vacuolar protein sorting-associated protein VTA1 homolog,Vta1,53794000
Q9CR27,WASH complex subunit CCDC53,Ccdc53,39704000
Q9CR29-2;Q9CR29,Coiled-coil domain-containing protein 43,Ccdc43,2640900
Q9CR35,Chymotrypsinogen B;Chymotrypsin B chain A;Chymotrypsin B chain B;Chymotrypsin B chain C,Ctrb1,336580000
Q9CR41;Q9CR41-2,Huntingtin-interacting protein K,Hypk,74636000
Q9CR51,V-type proton ATPase subunit G 1,Atp6v1g1,36741000
Q9CR57,60S ribosomal protein L14,Rpl14,538330000
Q9CR59,Growth arrest and DNA damage-inducible proteins-interacting protein 1,Gadd45gip1,4632800
Q9CR61,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7,Ndufb7,120820000
Q9CR62,Mitochondrial 2-oxoglutarate/malate carrier protein,Slc25a11,759040000
Q9CR67,Transmembrane protein 33,Tmem33,32069000
Q9CR68,"Cytochrome b-c1 complex subunit Rieske, mitochondrial;Cytochrome b-c1 complex subunit 11",Uqcrfs1,2397400000
Q9CR81,Testis-expressed sequence 12 protein,Tex12,10423000
Q9CR86,Calcium-regulated heat stable protein 1,Carhsp1,307880000
Q9CR88,"28S ribosomal protein S14, mitochondrial",Mrps14,9050300
Q9CR95,Adaptin ear-binding coat-associated protein 1,Necap1,29260000
Q9CR98,Protein FAM136A,Fam136a,1103900000
Q9CRA4,Methylsterol monooxygenase 1,Msmo1,29916000
Q9CRA5,Golgi phosphoprotein 3,Golph3,122870000
Q9CRA7,"ATP synthase subunit s, mitochondrial",Atp5s,54222000
Q9CRB2,H/ACA ribonucleoprotein complex subunit 2,Nhp2,33869000
Q9CRB3,5-hydroxyisourate hydrolase,Urah,1401500000
Q9CRB8,Mitochondrial fission process protein 1,Mtfp1,11389000
Q9CRB9,MICOS complex subunit Mic19,Chchd3,771080000
Q9CRC0,Vitamin K epoxide reductase complex subunit 1,Vkorc1,79223000
Q9CRC3,UPF0235 protein C15orf40 homolog,,9698900
Q9CRC6,UPF0693 protein C10orf32 homolog,,8274600
Q9CRC8,Leucine-rich repeat-containing protein 40,Lrrc40,41921000
Q9CRC9-2;Q9CRC9,Glucosamine-6-phosphate isomerase 2,Gnpda2,5244400
Q9CRD0;Q9CRD0-3;Q9CRD0-2,OCIA domain-containing protein 1,Ociad1,166820000
Q9CRD2,ER membrane protein complex subunit 2,Emc2,193530000
Q9CRT8,Exportin-T,Xpot,13468000
Q9CS42,Ribose-phosphate pyrophosphokinase 2,Prps2,34313000
Q9CSH3,Exosome complex exonuclease RRP44,Dis3,9366500
Q9CSU0-2;Q9CSU0;Q9CSU0-3,Regulation of nuclear pre-mRNA domain-containing protein 1B,Rprd1b,85807000
Q9CT10,Ran-binding protein 3,Ranbp3,65632000
Q9CU62,Structural maintenance of chromosomes protein 1A,Smc1a,250140000
Q9CVB6,Actin-related protein 2/3 complex subunit 2,Arpc2,1303400000
Q9CVD2,Ataxin-3,Atxn3,9172800
Q9CW03,Structural maintenance of chromosomes protein 3,Smc3,201140000
Q9CW42,Mitochondrial amidoxime-reducing component 1,03-01-2025,2657200000
Q9CW46;Q9CW46-2,Ribonucleoprotein PTB-binding 1,Raver1,18077000
Q9CWD8,Iron-sulfur protein NUBPL,Nubpl,96862000
Q9CWE0;Q9CWE0-2,Mitochondrial fission regulator 1-like,Mtfr1l,99178000
Q9CWG8;Q9CWG8-2,"NADH dehydrogenase [ubiquinone] complex I, assembly factor 7",Ndufaf7,16857000
Q9CWH5;Q9CWH5-2,tRNA (guanine(10)-N2)-methyltransferase homolog,Trmt11,3969200
Q9CWI3,BRCA2 and CDKN1A-interacting protein,Bccip,20606000
Q9CWJ9,Bifunctional purine biosynthesis protein PURH;Phosphoribosylaminoimidazolecarboxamide formyltransferase;IMP cyclohydrolase,Atic,1639600000
Q9CWK8,Sorting nexin-2,Snx2,1509900000
Q9CWL8,Beta-catenin-like protein 1,Ctnnbl1,9138100
Q9CWM4,Prefoldin subunit 1,Pfdn1,104360000
Q9CWP6-2;Q9CWP6-3;Q9CWP6;Q9CWP6-4,Motile sperm domain-containing protein 2,Mospd2,15219000
Q9CWQ0,Diphthine synthase,Dph5,8175700
Q9CWR1-3;Q9CWR1;Q9CWR1-2;Q9CWR1-4,WD repeat-containing protein 73,Wdr73,7048900
Q9CWS0,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",Ddah1,3339400000
Q9CWU4,UPF0690 protein C1orf52 homolog,,3480400
Q9CWU9,Nucleoporin Nup37,Nup37,18596000
Q9CWW6,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4,Pin4,91515000
Q9CWX2,"Complex I intermediate-associated protein 30, mitochondrial",Ndufaf1,80511000
Q9CWY8,Ribonuclease H2 subunit A,Rnaseh2a,4678100
Q9CWZ3-2;Q9CWZ3,RNA-binding protein 8A,Rbm8a,85372000
Q9CWZ7,Gamma-soluble NSF attachment protein,Napg,53915000
Q9CX00,IST1 homolog,Ist1,144130000
Q9CX34,Suppressor of G2 allele of SKP1 homolog,Sugt1,219200000
Q9CX56,26S proteasome non-ATPase regulatory subunit 8,Psmd8,491190000
Q9CX80,Cytoglobin,Cygb,28768000
Q9CX86,Heterogeneous nuclear ribonucleoprotein A0,Hnrnpa0,532240000
Q9CXA2,Trans-L-3-hydroxyproline dehydratase,L3hypdh,361340000
Q9CXD6-3;Q9CXD6-2;Q9CXD6,Mitochondrial calcium uniporter regulator 1,Mcur1,3521900
Q9CXE7,Transmembrane emp24 domain-containing protein 5,Tmed5,118120000
Q9CXF0,Kynureninase,Kynu,2156800000
Q9CXF4,TBC1 domain family member 15,Tbc1d15,65158000
Q9CXG3,Peptidyl-prolyl cis-trans isomerase-like 4,Ppil4,4029200
Q9CXI0,"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial",Coq5,123710000
Q9CXI5,Mesencephalic astrocyte-derived neurotrophic factor,Manf,566140000
Q9CXJ1,"Probable glutamate--tRNA ligase, mitochondrial",Ears2,77780000
Q9CXJ4,"ATP-binding cassette sub-family B member 8, mitochondrial",Abcb8,35115000
Q9CXN7,Phenazine biosynthesis-like domain-containing protein 2,Pbld2,3429300000
Q9CXR1,Dehydrogenase/reductase SDR family member 7,Dhrs7,294910000
Q9CXS4;Q9CXS4-2,Centromere protein V,Cenpv,1314500000
Q9CXT8,Mitochondrial-processing peptidase subunit beta,Pmpcb,589120000
Q9CXV1,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial",Sdhd,81237000
Q9CXW2,"28S ribosomal protein S22, mitochondrial",Mrps22,223150000
Q9CXW3,Calcyclin-binding protein,Cacybp,267790000
Q9CXW4,60S ribosomal protein L11,Rpl11,2048300000
Q9CXY6,Interleukin enhancer-binding factor 2,Ilf2,26052000
Q9CXZ1,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",Ndufs4,845560000
Q9CY16,"28S ribosomal protein S28, mitochondrial",Mrps28,125610000
Q9CY18,Sorting nexin-7,Snx7,8659300
Q9CY27,Very-long-chain enoyl-CoA reductase,Tecr,918510000
Q9CY45,Protein-lysine N-methyltransferase N6amt2,N6amt2,11395000
Q9CY50,Translocon-associated protein subunit alpha,Ssr1,230200000
Q9CY52,Probable tRNA(His) guanylyltransferase,Thg1l,3328100
Q9CY57-5;Q9CY57-4;Q9CY57-3;Q9CY57-2;Q9CY57,Chromatin target of PRMT1 protein,Chtop,22001000
